DATE,ANONYMIZED CATEGORY,ANONYMIZED PRODUCT,ANONYMIZED BUSINESS,ANONYMIZED LOCATION,QUANTITY,VALUE,Month-Year,is_balanced
2024-01-01 21:11:00,Category-119,Product-66e0,Business-a68c,Location-689f,30,1740.0,January 2024,
2024-01-01 21:46:00,Category-100,Product-7944,Business-c5ff,Location-66f4,8,2101.0,January 2024,
2024-01-01 21:50:00,Category-85,Product-0c64,Business-e2bb,Location-66f4,4,1190.0,January 2024,
2024-01-02 06:53:00,Category-75,Product-6aa1,Business-6f3b,Location-1c33,1,2199.0,January 2024,
2024-01-02 08:00:00,Category-96,Product-41c3,Business-20fc,Location-b125,1,7930.0,January 2024,
2024-01-02 09:58:00,Category-94,Product-703d,Business-88f5,Location-689f,3,915.0,January 2024,
2024-01-02 09:58:00,Category-120,Product-3050,Business-88f5,Location-689f,1,2120.0,January 2024,
2024-01-02 09:58:00,Category-109,Product-0773,Business-88f5,Location-689f,1,1177.0,January 2024,
2024-01-02 09:58:00,Category-109,Product-96a9,Business-88f5,Location-689f,1,938.0,January 2024,
2024-01-02 09:58:00,Category-78,Product-7951,Business-88f5,Location-689f,2,1324.0,January 2024,
2024-01-02 09:58:00,Category-75,Product-2175,Business-88f5,Location-689f,3,4365.0,January 2024,
2024-01-02 13:25:00,Category-119,Product-3b21,Business-bfa2,Location-3fc0,1,1756.0,January 2024,
2024-01-02 13:28:00,Category-101,Product-d67e,Business-4d8e,Location-66f4,8,1810.0,January 2024,
2024-01-02 13:35:00,Category-75,Product-2175,Business-9b3a,Location-689f,7,4365.0,January 2024,
2024-01-02 13:44:00,Category-102,Product-4883,Business-1ede,Location-3fc0,4,230.0,January 2024,
2024-01-02 13:44:00,Category-120,Product-1e80,Business-1ede,Location-3fc0,2,2170.0,January 2024,
2024-01-02 13:53:00,Category-75,Product-8f75,Business-7a03,Location-3fc0,12,4330.0,January 2024,
2024-01-02 14:02:00,Category-106,Product-06ba,Business-31f8,Location-689f,1,658.0,January 2024,
2024-01-02 14:02:00,Category-120,Product-3050,Business-31f8,Location-689f,2,2140.0,January 2024,
2024-01-02 14:02:00,Category-120,Product-1e80,Business-31f8,Location-689f,1,2170.0,January 2024,
2024-01-02 14:21:00,Category-75,Product-8f75,Business-1ae8,Location-47dc,11,4330.0,January 2024,
2024-01-02 14:34:00,Category-75,Product-8f75,Business-c38e,Location-66f4,5,4330.0,January 2024,
2024-01-02 15:11:00,Category-76,Product-e805,Business-72bc,Location-689f,1,7450.0,January 2024,
2024-01-02 15:26:00,Category-76,Product-38f7,Business-f3e7,Location-3fc0,3,3680.0,January 2024,
2024-01-02 15:45:00,Category-100,Product-392e,Business-643c,Location-b125,20,1696.0,January 2024,
2024-01-02 15:45:00,Category-120,Product-29ee,Business-643c,Location-b125,50,2120.0,January 2024,
2024-01-02 15:47:00,Category-83,Product-0367,Business-643c,Location-b125,4,3512.0,January 2024,
2024-01-02 15:47:00,Category-119,Product-3b21,Business-643c,Location-b125,10,1756.0,January 2024,
2024-01-02 16:07:00,Category-100,Product-3cc2,Business-2eba,Location-b27b,10,2121.0,January 2024,
2024-01-02 16:07:00,Category-104,Product-7c83,Business-2eba,Location-b27b,2,1115.0,January 2024,
2024-01-02 16:19:00,Category-120,Product-14f3,Business-2282,Location-c2f2,7,2130.0,January 2024,
2024-01-02 16:42:00,Category-100,Product-0348,Business-0c98,Location-b125,7,1570.0,January 2024,
2024-01-02 16:44:00,Category-101,Product-9ea7,Business-996a,Location-3e32,20,1785.0,January 2024,
2024-01-02 16:52:00,Category-77,Product-d09c,Business-ba5f,Location-66f4,5,2980.0,January 2024,
2024-01-02 16:57:00,Category-120,Product-4156,Business-fef1,Location-3e32,2,2180.0,January 2024,
2024-01-02 18:04:00,Category-120,Product-3050,Business-d72e,Location-689f,8,2140.0,January 2024,
2024-01-02 18:04:00,Category-76,Product-113e,Business-eb14,Location-d1a8,1,7950.0,January 2024,
2024-01-02 18:08:00,Category-76,Product-e805,Business-c219,Location-c2f2,7,7450.0,January 2024,
2024-01-02 18:23:00,Category-75,Product-8f75,Business-f17a,Location-3fc0,6,4330.0,January 2024,
2024-01-02 18:24:00,Category-102,Product-4883,Business-b882,Location-3e32,9,230.0,January 2024,
2024-01-02 18:44:00,Category-91,Product-c9b9,Business-e901,Location-c2f2,2,615.0,January 2024,
2024-01-02 18:44:00,Category-76,Product-e805,Business-e901,Location-c2f2,2,7450.0,January 2024,
2024-01-02 18:54:00,Category-77,Product-a021,Business-3955,Location-eb12,34,2870.0,January 2024,
2024-01-02 18:58:00,Category-100,Product-7944,Business-2b76,Location-1979,5,2101.0,January 2024,
2024-01-02 19:10:00,Category-75,Product-1196,Business-6eda,Location-0451,9,4350.0,January 2024,
2024-01-02 19:10:00,Category-100,Product-3d03,Business-6eda,Location-0451,1,2176.0,January 2024,
2024-01-02 19:10:00,Category-100,Product-e729,Business-6eda,Location-0451,11,2120.0,January 2024,
2024-01-02 19:10:00,Category-100,Product-4ce6,Business-6eda,Location-0451,4,1745.0,January 2024,
2024-01-02 19:12:00,Category-75,Product-8f75,Business-aa71,Location-128a,1,4330.0,January 2024,
2024-01-02 19:12:00,Category-77,Product-d09c,Business-aa71,Location-128a,1,2980.0,January 2024,
2024-01-02 19:12:00,Category-119,Product-e98d,Business-aa71,Location-128a,1,1770.0,January 2024,
2024-01-02 19:12:00,Category-100,Product-e729,Business-95a5,Location-0451,30,2120.0,January 2024,
2024-01-02 19:14:00,Category-120,Product-1e80,Business-7a03,Location-3fc0,5,2170.0,January 2024,
2024-01-02 19:16:00,Category-100,Product-e729,Business-3d9d,Location-62b5,10,2120.0,January 2024,
2024-01-02 19:16:00,Category-102,Product-4883,Business-b7e7,Location-128a,5,230.0,January 2024,
2024-01-02 19:16:00,Category-97,Product-bbdc,Business-b7e7,Location-128a,5,341.0,January 2024,
2024-01-02 19:17:00,Category-77,Product-d09c,Business-4846,Location-689f,4,2980.0,January 2024,
2024-01-02 19:20:00,Category-100,Product-3d03,Business-d5b5,Location-0451,20,2176.0,January 2024,
2024-01-02 19:22:00,Category-100,Product-db04,Business-245e,Location-e2f8,3,2105.0,January 2024,
2024-01-02 19:31:00,Category-84,Product-8ddf,Business-ba13,Location-3e32,2,696.0,January 2024,
2024-01-02 19:31:00,Category-100,Product-7944,Business-ba13,Location-3e32,2,2101.0,January 2024,
2024-01-02 19:31:00,Category-120,Product-4156,Business-ba13,Location-3e32,4,2180.0,January 2024,
2024-01-02 19:35:00,Category-85,Product-d06e,Business-fef1,Location-3e32,2,1130.0,January 2024,
2024-01-02 19:40:00,Category-101,Product-9ea7,Business-e2bb,Location-66f4,12,1785.0,January 2024,
2024-01-02 20:07:00,Category-76,Product-e805,Business-a68c,Location-689f,3,7450.0,January 2024,
2024-01-02 20:09:00,Category-120,Product-29ee,Business-cf4b,Location-b125,40,2120.0,January 2024,
2024-01-02 20:12:00,Category-79,Product-9b3f,Business-a43d,Location-3e32,1,3845.0,January 2024,
2024-01-02 20:12:00,Category-76,Product-e805,Business-a43d,Location-3e32,6,7450.0,January 2024,
2024-01-02 20:13:00,Category-120,Product-29ee,Business-a43d,Location-3e32,15,2120.0,January 2024,
2024-01-02 20:34:00,Category-100,Product-db04,Business-6a96,Location-3e32,1,2105.0,January 2024,
2024-01-02 20:51:00,Category-75,Product-086d,Business-1e3e,Location-03fc,100,2185.0,January 2024,
2024-01-02 20:58:00,Category-75,Product-8f75,Business-07de,Location-b27b,8,4330.0,January 2024,
2024-01-02 21:00:00,Category-102,Product-5e73,Business-4919,Location-3e32,7,240.0,January 2024,
2024-01-02 21:00:00,Category-111,Product-b485,Business-4919,Location-3e32,1,551.0,January 2024,
2024-01-02 21:00:00,Category-97,Product-bbdc,Business-4919,Location-3e32,2,341.0,January 2024,
2024-01-02 21:00:00,Category-91,Product-32b3,Business-4919,Location-3e32,1,620.0,January 2024,
2024-01-02 21:34:00,Category-77,Product-d09c,Business-188a,Location-3e32,12,2980.0,January 2024,
2024-01-02 22:08:00,Category-76,Product-e805,Business-2197,Location-689f,30,7450.0,January 2024,
2024-01-02 22:22:00,Category-75,Product-2175,Business-5f36,Location-c2f2,10,4365.0,January 2024,
2024-01-02 23:57:00,Category-75,Product-086d,Business-e97c,Location-689f,3,2185.0,January 2024,
2024-01-03 06:30:00,Category-85,Product-6859,Business-08e8,Location-d1a8,2,885.0,January 2024,
2024-01-03 11:11:00,Category-100,Product-7944,Business-41b7,Location-66f4,10,2101.0,January 2024,
2024-01-03 11:24:00,Category-77,Product-d09c,Business-9872,Location-3e32,16,2980.0,January 2024,
2024-01-03 12:13:00,Category-77,Product-d09c,Business-8f6d,Location-3fc0,35,2980.0,January 2024,
2024-01-03 12:20:00,Category-120,Product-c982,Business-8f6d,Location-3fc0,5,2130.0,January 2024,
2024-01-03 12:40:00,Category-75,Product-6aa1,Business-61e9,Location-f7fa,20,2199.0,January 2024,
2024-01-03 13:01:00,Category-95,Product-8f46,Business-cf4b,Location-b125,10,1497.0,January 2024,
2024-01-03 13:54:00,Category-100,Product-7944,Business-b453,Location-03fc,4,2101.0,January 2024,
2024-01-03 14:02:00,Category-77,Product-d09c,Business-c206,Location-689f,8,2980.0,January 2024,
2024-01-03 15:30:00,Category-75,Product-6aa1,Business-1afb,Location-d1a8,2,2199.0,January 2024,
2024-01-03 15:35:00,Category-104,Product-af50,Business-9239,Location-7f37,3,1300.0,January 2024,
2024-01-03 16:23:00,Category-96,Product-87b2,Business-48f6,Location-f37d,3,813.0,January 2024,
2024-01-03 16:34:00,Category-100,Product-db04,Business-15bc,Location-d32a,4,2105.0,January 2024,
2024-01-03 17:16:00,Category-84,Product-ee8b,Business-a8da,Location-7f37,3,696.0,January 2024,
2024-01-03 17:17:00,Category-85,Product-2b58,Business-dcd4,Location-6e9b,3,1330.0,January 2024,
2024-01-03 17:31:00,Category-76,Product-38f7,Business-d72e,Location-689f,4,3680.0,January 2024,
2024-01-03 17:48:00,Category-75,Product-4832,Business-835e,Location-f21b,2,4330.0,January 2024,
2024-01-03 17:48:00,Category-101,Product-fd67,Business-835e,Location-f21b,2,1770.0,January 2024,
2024-01-03 18:25:00,Category-76,Product-e805,Business-a43d,Location-3e32,5,7400.0,January 2024,
2024-01-03 18:37:00,Category-75,Product-8f75,Business-2229,Location-1ba8,2,4335.0,January 2024,
2024-01-03 18:41:00,Category-79,Product-9992,Business-0e5b,Location-e2f8,4,201.0,January 2024,
2024-01-03 18:47:00,Category-100,Product-7944,Business-a728,Location-f37d,2,2136.0,January 2024,
2024-01-03 18:55:00,Category-100,Product-db04,Business-1866,Location-f37d,2,2105.0,January 2024,
2024-01-03 19:02:00,Category-83,Product-3300,Business-4925,Location-3e32,2,2667.0,January 2024,
2024-01-03 19:08:00,Category-110,Product-ec39,Business-1548,Location-f37d,2,290.0,January 2024,
2024-01-03 19:12:00,Category-75,Product-8f75,Business-ec8b,Location-1ba8,5,4335.0,January 2024,
2024-01-03 19:12:00,Category-84,Product-6205,Business-ec8b,Location-1ba8,3,258.0,January 2024,
2024-01-03 19:12:00,Category-84,Product-b46a,Business-ec8b,Location-1ba8,5,696.0,January 2024,
2024-01-03 19:20:00,Category-109,Product-0773,Business-a3fe,Location-4ea1,2,1177.0,January 2024,
2024-01-03 19:22:00,Category-120,Product-14f3,Business-e0ec,Location-e2f8,2,2120.0,January 2024,
2024-01-03 19:22:00,Category-76,Product-e805,Business-2229,Location-1ba8,2,7350.0,January 2024,
2024-01-03 19:22:00,Category-75,Product-2175,Business-e0ec,Location-e2f8,4,4365.0,January 2024,
2024-01-03 19:22:00,Category-102,Product-4883,Business-e0ec,Location-e2f8,3,230.0,January 2024,
2024-01-03 19:33:00,Category-75,Product-2175,Business-aef2,Location-4ea1,6,4365.0,January 2024,
2024-01-03 19:34:00,Category-120,Product-3050,Business-59a0,Location-689f,8,2130.0,January 2024,
2024-01-03 19:43:00,Category-76,Product-e805,Business-54ad,Location-3e32,5,7350.0,January 2024,
2024-01-03 20:03:00,Category-100,Product-0348,Business-80b3,Location-f37d,10,1570.0,January 2024,
2024-01-03 20:06:00,Category-75,Product-2175,Business-089e,Location-7f37,2,4365.0,January 2024,
2024-01-03 20:06:00,Category-75,Product-5e14,Business-089e,Location-7f37,4,2205.0,January 2024,
2024-01-03 20:09:00,Category-100,Product-e729,Business-7279,Location-0451,8,2120.0,January 2024,
2024-01-03 20:11:00,Category-100,Product-6a23,Business-2590,Location-0451,2,2116.0,January 2024,
2024-01-03 20:13:00,Category-75,Product-8f75,Business-5613,Location-3e32,7,4335.0,January 2024,
2024-01-03 20:13:00,Category-100,Product-0348,Business-d81e,Location-03fc,5,1570.0,January 2024,
2024-01-03 20:13:00,Category-100,Product-3cc2,Business-d81e,Location-03fc,2,2121.0,January 2024,
2024-01-03 20:20:00,Category-100,Product-0348,Business-80b3,Location-f37d,15,1570.0,January 2024,
2024-01-03 20:20:00,Category-75,Product-086d,Business-cf4b,Location-b125,25,2185.0,January 2024,
2024-01-03 20:23:00,Category-100,Product-a2cf,Business-b3e6,Location-7aae,4,2206.0,January 2024,
2024-01-03 20:25:00,Category-100,Product-a2cf,Business-ee96,Location-62b5,5,2206.0,January 2024,
2024-01-03 20:45:00,Category-76,Product-e805,Business-10e2,Location-1ba8,4,7350.0,January 2024,
2024-01-03 20:50:00,Category-100,Product-7944,Business-5feb,Location-03fc,3,2136.0,January 2024,
2024-01-03 20:52:00,Category-76,Product-e805,Business-2197,Location-689f,50,7350.0,January 2024,
2024-01-03 20:53:00,Category-75,Product-8f75,Business-3215,Location-689f,20,4335.0,January 2024,
2024-01-03 21:01:00,Category-100,Product-0348,Business-b9b8,Location-7f37,2,1570.0,January 2024,
2024-01-03 21:10:00,Category-96,Product-87b2,Business-52fa,Location-e2f8,2,813.0,January 2024,
2024-01-03 21:38:00,Category-100,Product-30cd,Business-2197,Location-689f,50,1535.0,January 2024,
2024-01-03 21:40:00,Category-100,Product-30cd,Business-edb5,Location-7f37,3,1535.0,January 2024,
2024-01-03 22:42:00,Category-100,Product-3d03,Business-6bf6,Location-1ea3,5,2176.0,January 2024,
2024-01-04 09:14:00,Category-100,Product-39a6,Business-9beb,Location-e951,20,2090.0,January 2024,
2024-01-04 13:11:00,Category-75,Product-086d,Business-a8db,Location-66f4,10,2185.0,January 2024,
2024-01-04 13:27:00,Category-96,Product-41c3,Business-20fc,Location-b125,2,7930.0,January 2024,
2024-01-04 13:32:00,Category-100,Product-30cd,Business-3215,Location-689f,20,1535.0,January 2024,
2024-01-04 13:32:00,Category-85,Product-0c64,Business-3215,Location-689f,30,1190.0,January 2024,
2024-01-04 13:44:00,Category-76,Product-e805,Business-e8fc,Location-66f4,3,7370.0,January 2024,
2024-01-04 13:52:00,Category-100,Product-5e32,Business-b69f,Location-128a,4,1675.0,January 2024,
2024-01-04 15:46:00,Category-77,Product-d09c,Business-879a,Location-c2f2,5,3170.0,January 2024,
2024-01-04 15:53:00,Category-110,Product-4987,Business-3852,Location-c2f2,3,155.0,January 2024,
2024-01-04 15:54:00,Category-75,Product-086d,Business-07de,Location-b27b,14,2185.0,January 2024,
2024-01-04 16:01:00,Category-92,Product-d09a,Business-5bac,Location-3e32,10,1430.0,January 2024,
2024-01-04 16:12:00,Category-76,Product-e805,Business-6a2b,Location-128a,1,7370.0,January 2024,
2024-01-04 16:12:00,Category-100,Product-5e32,Business-6a2b,Location-128a,2,1675.0,January 2024,
2024-01-04 16:12:00,Category-100,Product-3cc2,Business-6a2b,Location-128a,1,2121.0,January 2024,
2024-01-04 16:30:00,Category-77,Product-d09c,Business-5661,Location-c2f2,2,3170.0,January 2024,
2024-01-04 16:40:00,Category-77,Product-d09c,Business-724d,Location-03fc,3,3170.0,January 2024,
2024-01-04 16:52:00,Category-77,Product-d09c,Business-b649,Location-128a,1,3170.0,January 2024,
2024-01-04 16:56:00,Category-75,Product-8f75,Business-9fd0,Location-3e32,10,4335.0,January 2024,
2024-01-04 17:00:00,Category-75,Product-8f75,Business-8f7d,Location-e2f8,1,4335.0,January 2024,
2024-01-04 17:00:00,Category-92,Product-d09a,Business-9fd0,Location-3e32,5,1430.0,January 2024,
2024-01-04 17:01:00,Category-104,Product-af50,Business-0523,Location-3e32,2,1300.0,January 2024,
2024-01-04 17:09:00,Category-76,Product-e805,Business-3683,Location-c2f2,4,7370.0,January 2024,
2024-01-04 17:22:00,Category-75,Product-8f75,Business-29bc,Location-1ba8,4,4335.0,January 2024,
2024-01-04 17:23:00,Category-101,Product-9ea7,Business-2130,Location-b27b,3,1785.0,January 2024,
2024-01-04 17:56:00,Category-100,Product-30cd,Business-6f09,Location-3fc0,15,1535.0,January 2024,
2024-01-04 17:57:00,Category-76,Product-e805,Business-fe7d,Location-689f,5,7370.0,January 2024,
2024-01-04 18:07:00,Category-100,Product-f3ee,Business-978e,Location-1c33,20,2170.0,January 2024,
2024-01-04 18:07:00,Category-85,Product-2b58,Business-978e,Location-1c33,5,1330.0,January 2024,
2024-01-04 18:16:00,Category-121,Product-7937,Business-7016,Location-3e32,15,920.0,January 2024,
2024-01-04 18:16:00,Category-76,Product-e805,Business-c5ff,Location-66f4,6,7370.0,January 2024,
2024-01-04 18:39:00,Category-76,Product-113e,Business-46ef,Location-6e9b,5,7600.0,January 2024,
2024-01-04 19:03:00,Category-120,Product-29ee,Business-22e2,Location-b125,30,2120.0,January 2024,
2024-01-04 19:45:00,Category-75,Product-8f75,Business-f17a,Location-3fc0,6,4335.0,January 2024,
2024-01-04 19:51:00,Category-75,Product-8f75,Business-1e3e,Location-03fc,50,4335.0,January 2024,
2024-01-04 19:54:00,Category-79,Product-562c,Business-b649,Location-128a,1,640.0,January 2024,
2024-01-04 20:08:00,Category-100,Product-5e32,Business-0ca8,Location-128a,3,1675.0,January 2024,
2024-01-04 20:17:00,Category-120,Product-1e80,Business-6855,Location-e2f8,1,2160.0,January 2024,
2024-01-04 20:17:00,Category-120,Product-4156,Business-6855,Location-e2f8,1,2180.0,January 2024,
2024-01-04 20:17:00,Category-119,Product-66e0,Business-6855,Location-e2f8,1,1740.0,January 2024,
2024-01-04 20:42:00,Category-76,Product-113e,Business-3955,Location-eb12,4,7600.0,January 2024,
2024-01-04 20:43:00,Category-75,Product-8f75,Business-b04e,Location-3e32,3,4335.0,January 2024,
2024-01-04 20:56:00,Category-121,Product-aea4,Business-1ede,Location-3fc0,2,1335.0,January 2024,
2024-01-04 21:07:00,Category-91,Product-669d,Business-245e,Location-e2f8,3,134.0,January 2024,
2024-01-04 21:18:00,Category-106,Product-21f4,Business-fba5,Location-1ba8,2,848.0,January 2024,
2024-01-04 21:20:00,Category-92,Product-d09a,Business-90af,Location-b125,50,1430.0,January 2024,
2024-01-04 21:21:00,Category-100,Product-e729,Business-0b84,Location-0451,1,2120.0,January 2024,
2024-01-04 21:25:00,Category-100,Product-be6a,Business-adc9,Location-19dc,10,2095.0,January 2024,
2024-01-04 21:26:00,Category-119,Product-66e0,Business-a8bd,Location-689f,10,1740.0,January 2024,
2024-01-04 21:26:00,Category-107,Product-8d56,Business-a8bd,Location-689f,4,1481.0,January 2024,
2024-01-04 21:26:00,Category-120,Product-76b9,Business-a8bd,Location-689f,30,2130.0,January 2024,
2024-01-04 21:50:00,Category-120,Product-7493,Business-90af,Location-b125,15,2140.0,January 2024,
2024-01-04 22:06:00,Category-120,Product-3050,Business-64de,Location-3fc0,40,2130.0,January 2024,
2024-01-04 22:06:00,Category-120,Product-1e80,Business-64de,Location-3fc0,10,2160.0,January 2024,
2024-01-04 22:25:00,Category-100,Product-3cc2,Business-2eba,Location-b27b,4,2121.0,January 2024,
2024-01-05 07:07:00,Category-85,Product-2b58,Business-4af0,Location-d1a8,1,1330.0,January 2024,
2024-01-05 07:07:00,Category-85,Product-86ab,Business-4af0,Location-d1a8,1,1215.0,January 2024,
2024-01-05 07:07:00,Category-75,Product-1609,Business-4af0,Location-d1a8,1,4350.0,January 2024,
2024-01-05 08:15:00,Category-76,Product-e805,Business-51e9,Location-f37d,2,7370.0,January 2024,
2024-01-05 09:35:00,Category-91,Product-0c55,Business-8abb,Location-03fc,3,3660.0,January 2024,
2024-01-05 09:35:00,Category-91,Product-6fcb,Business-8abb,Location-03fc,2,3660.0,January 2024,
2024-01-05 09:35:00,Category-96,Product-87b2,Business-8abb,Location-03fc,6,813.0,January 2024,
2024-01-05 09:35:00,Category-109,Product-96a9,Business-8abb,Location-03fc,2,938.0,January 2024,
2024-01-05 09:35:00,Category-106,Product-c14c,Business-8abb,Location-03fc,6,1329.0,January 2024,
2024-01-05 09:35:00,Category-85,Product-9ae4,Business-8abb,Location-03fc,5,1285.0,January 2024,
2024-01-05 11:25:00,Category-100,Product-b9c9,Business-b22c,Location-f7fa,30,2170.0,January 2024,
2024-01-05 11:30:00,Category-76,Product-e805,Business-280a,Location-3e32,20,7370.0,January 2024,
2024-01-05 14:03:00,Category-75,Product-d3e4,Business-83cd,Location-3e32,1,3026.0,January 2024,
