ANONYMIZED BUSINESS,QUANTITY,VALUE
Business-37ee,900,1141550.0
Business-e466,964,1138937.0
Business-7cf4,1929,1137146.0
Business-a6a1,1689,1136330.0
Business-70f8,720,1126582.0
Business-6baf,2419,1115141.0
Business-457d,1219,1113964.0
Business-67ef,1024,1112774.0
Business-60fb,1222,1111750.0
Business-32f2,1069,1111575.0
Business-263c,2113,1106741.0
Business-64de,2838,1104347.0
Business-8119,3788,1091718.0
Business-51e9,826,1091209.0
Business-ba97,1142,1089271.0
Business-b477,1273,1080759.0
Business-5de9,1420,1078743.0
Business-ee44,985,1074313.0
Business-2db8,921,1073260.0
Business-df25,1071,1066451.0
Business-60b8,576,1059634.0
Business-b816,549,1054281.0
Business-6fd0,585,1051630.0
Business-483f,627,1041864.0
Business-c5ff,2515,1022843.0
Business-e8fc,976,1020836.0
Business-4d9c,446,1018129.0
Business-c38e,1526,1017386.0
Business-8448,574,1016112.0
Business-abca,506,1013310.0
Business-66d6,501,1012796.0
Business-f1c4,613,1004857.0
Business-a7aa,647,997914.0
Business-adc1,1928,997138.0
Business-5a62,842,995240.0
Business-4219,718,990389.0
Business-74b1,641,982619.0
Business-4846,857,981461.0
Business-1d1c,1125,972237.0
Business-37cb,754,966993.0
Business-83cd,1591,960377.0
Business-8c70,658,959887.0
Business-7580,881,959787.0
Business-bc52,990,958390.0
Business-b882,623,957725.0
Business-cf4b,2890,949022.0
Business-c13c,742,942088.0
Business-c206,848,941898.0
Business-43f8,679,925534.0
Business-3955,1090,921818.0
Business-0af3,293,921618.0
Business-2ba7,1606,920814.0
Business-659d,1176,918021.0
Business-7c29,605,912344.0
Business-8d52,548,911805.0
Business-63e2,1838,911588.0
Business-655d,1514,910848.0
Business-30b8,548,904250.0
Business-9fd0,940,901519.0
Business-3fd8,558,901355.0
Business-bc7f,584,897408.0
Business-5fa7,450,896412.0
Business-28e4,494,894638.0
Business-4b91,444,890177.0
Business-f043,513,889947.0
Business-f6bc,731,886065.0
Business-0078,317,882264.0
Business-4bbb,1307,878493.0
Business-3515,694,878411.0
Business-2297,457,877672.0
Business-c9dc,622,870714.0
Business-49e7,752,870531.0
Business-966e,771,870206.0
Business-e0ad,478,859706.0
Business-1b52,1336,858406.0
Business-35c0,504,857003.0
Business-016c,492,856286.0
Business-75fe,562,855878.0
Business-ef3a,463,842886.0
Business-8b9b,509,842578.0
Business-b7d1,433,839096.0
Business-0f72,797,833309.0
Business-b02f,451,830916.0
Business-2f6a,1978,827251.0
Business-75cd,588,826354.0
Business-6a2b,672,825366.0
Business-a43d,1790,820763.0
Business-719c,521,820396.0
Business-996a,2216,819942.0
Business-7982,424,819380.0
Business-7c25,616,817306.0
Business-7fda,666,813843.0
Business-cf86,299,809542.0
Business-2229,510,809432.0
Business-8535,370,808453.0
Business-b48e,1518,806685.0
Business-e901,521,806646.0
Business-f3e7,669,797384.0
Business-0b68,295,793387.0
Business-72bc,354,792897.0
Business-b7a6,324,783641.0
Business-4ac4,527,779525.0
Business-046d,367,779184.0
Business-660d,410,777547.0
Business-3112,955,774707.0
Business-52fa,920,771446.0
Business-c766,434,771318.0
Business-ba5f,713,768695.0
Business-fb5f,567,767395.0
Business-2177,333,767252.0
Business-5c56,626,765989.0
Business-101d,600,764370.0
Business-1866,558,763714.0
Business-dea1,776,760716.0
Business-b197,479,755793.0
Business-98d4,500,755611.0
Business-7f41,351,755129.0
Business-aa71,501,752581.0
Business-9872,884,752546.0
Business-9909,414,752205.0
Business-16e7,1218,751821.0
Business-b649,340,750367.0
Business-31b8,761,744678.0
Business-49c2,474,744082.0
Business-281c,377,742669.0
Business-50b6,399,739490.0
Business-bfcd,558,738490.0
Business-b25b,629,736208.0
Business-fd4d,327,729411.0
Business-74f4,445,728893.0
Business-965c,1281,726018.0
Business-c4f8,507,725002.0
Business-0ca8,592,723782.0
Business-25ce,568,721284.0
Business-d68d,572,719791.0
Business-ca55,486,718902.0
Business-5fef,369,716908.0
Business-7964,353,716267.0
Business-59a0,1105,715910.0
Business-d129,382,711500.0
Business-61e9,2697,708622.0
Business-1f6d,340,707920.0
Business-cf0d,1793,707665.0
Business-447e,302,707349.0
Business-c9c0,306,706556.0
Business-b69f,542,705256.0
Business-3090,344,705165.0
Business-9184,1132,703756.0
Business-0ea3,774,703061.0
Business-a221,386,699502.0
Business-a170,709,699058.0
Business-4eea,453,697970.0
Business-1b69,436,692375.0
Business-c428,490,690650.0
Business-97d2,787,672728.0
Business-2e1a,742,671482.0
Business-4608,634,670252.0
Business-6de8,422,669602.0
Business-4293,324,668445.0
Business-663a,969,668320.0
Business-19f9,341,666022.0
Business-aab8,292,661227.0
Business-223a,387,659669.0
Business-d4f9,471,659365.0
Business-d834,510,659036.0
Business-a1f1,240,651976.0
Business-3772,354,649796.0
Business-cdc1,497,648373.0
Business-0855,746,648128.0
Business-3996,444,648124.0
Business-88f5,1598,635649.0
Business-4804,699,635323.0
Business-6b30,739,635152.0
Business-420f,352,635086.0
Business-450d,479,631810.0
Business-ed32,573,627824.0
Business-c569,1475,625206.0
Business-b6eb,341,622930.0
Business-2590,434,621791.0
Business-470a,526,621644.0
Business-b75e,506,620887.0
Business-b453,403,617879.0
Business-f3d9,260,616640.0
Business-7cb0,492,615762.0
Business-6daf,980,614806.0
Business-8abb,989,614741.0
Business-96eb,522,614262.0
Business-076a,300,607981.0
Business-b603,268,605739.0
Business-3bd4,341,602441.0
Business-1510,1786,601922.0
Business-5780,317,601481.0
Business-14ca,444,600823.0
Business-6e8e,448,595860.0
Business-1d4a,673,594066.0
Business-29ce,336,593357.0
Business-a8d5,1524,590649.0
Business-069f,245,588374.0
Business-5bb6,645,585872.0
Business-ea15,165,584565.0
Business-66db,345,583083.0
Business-8f4e,401,582694.0
Business-50b5,708,582019.0
Business-8f6d,1206,581613.0
Business-300a,268,580992.0
Business-df05,455,580757.0
Business-28ad,478,580184.0
Business-7f36,296,579284.0
Business-0f38,606,576835.0
Business-a58f,205,575214.0
Business-3ef6,517,574405.0
Business-b325,242,574237.0
Business-1c70,335,573827.0
Business-3683,477,573274.0
Business-7e71,361,571636.0
Business-2afb,608,571140.0
Business-bceb,414,570609.0
Business-3830,285,569086.0
Business-aba8,267,568831.0
Business-e6ce,247,567749.0
Business-274a,266,567391.0
Business-7678,2304,567139.0
Business-8504,293,564707.0
Business-14dd,316,562594.0
Business-dbac,325,560250.0
Business-a703,456,558666.0
Business-5f36,1311,558624.0
Business-e21c,683,558461.0
Business-6855,227,558067.0
Business-5de0,352,557165.0
Business-553e,354,555322.0
Business-8701,273,554982.0
Business-07ef,236,550873.0
Business-c96d,210,548570.0
Business-5088,355,548336.0
Business-7eff,800,548072.0
Business-2197,3327,547096.0
Business-a91c,414,543351.0
Business-6cd7,253,543162.0
Business-2de0,374,540405.0
Business-fd94,287,539940.0
Business-a22f,434,538942.0
Business-5bf6,290,537531.0
Business-79a4,266,535724.0
Business-06ed,719,533512.0
Business-c3bc,268,533184.0
Business-422a,278,532972.0
Business-b5a6,209,532898.0
Business-4087,667,531701.0
Business-bf85,643,526923.0
Business-7002,391,525326.0
Business-13f9,290,523998.0
Business-d719,344,523547.0
Business-25f9,219,522515.0
Business-3d6e,339,518508.0
Business-ccdf,244,517595.0
Business-9768,617,515523.0
Business-7c9e,260,514779.0
Business-2aa6,259,512691.0
Business-6a90,1953,512501.0
Business-deac,655,510503.0
Business-41f3,401,510128.0
Business-6468,370,509891.0
Business-ea78,297,508393.0
Business-74af,460,508340.0
Business-821e,309,508208.0
Business-5b02,222,502915.0
Business-59c1,243,501462.0
Business-c4c7,333,500321.0
Business-9eec,262,500230.0
Business-3099,332,499917.0
Business-476c,334,499862.0
Business-1f08,232,498593.0
Business-c678,173,498344.0
Business-3a97,269,497436.0
Business-c574,709,497155.0
Business-19c9,262,497118.0
Business-bfa2,250,492593.0
Business-eb59,564,492463.0
Business-800e,314,491674.0
Business-648f,208,489825.0
Business-8765,226,489046.0
Business-5d02,198,488422.0
Business-b8e8,680,487240.0
Business-f694,398,486966.0
Business-c590,385,485512.0
Business-c472,192,484835.0
Business-b412,1241,483602.0
Business-64a7,348,480705.0
Business-77bb,243,479510.0
Business-2485,984,478560.0
Business-e12e,177,477547.0
Business-242f,223,477421.0
Business-3709,217,475324.0
Business-7d24,264,473787.0
Business-2b21,323,472003.0
Business-240b,497,471297.0
Business-bfc3,216,470475.0
Business-68ef,232,465352.0
Business-46dc,551,463668.0
Business-2282,224,463627.0
Business-c483,290,462979.0
Business-b019,318,462485.0
Business-fd61,240,462435.0
Business-eae4,312,461567.0
Business-20fc,1119,461501.0
Business-71ac,531,460723.0
Business-9cdf,365,459514.0
Business-bd0a,296,459256.0
Business-5fcd,235,458666.0
Business-6e74,289,457748.0
Business-1e65,351,457132.0
Business-242c,499,456835.0
Business-03a3,197,455985.0
Business-a44a,210,455052.0
Business-e97c,279,454167.0
Business-294a,262,453447.0
Business-7016,726,452583.0
Business-6180,319,451490.0
Business-777b,242,449243.0
Business-d15c,169,448058.0
Business-a422,618,446671.0
Business-47fa,533,445749.0
Business-f893,445,444609.0
Business-876f,189,444178.0
Business-bd15,219,444103.0
Business-0daa,926,443654.0
Business-1e3e,4981,443257.0
Business-e0cc,164,443109.0
Business-188a,640,443004.0
Business-f13b,1170,442828.0
Business-8e85,269,442724.0
Business-3e70,200,442703.0
Business-8697,256,442540.0
Business-bbc0,323,440343.0
Business-d582,284,437985.0
Business-bc6a,249,437887.0
Business-fe3d,286,437323.0
Business-5525,955,436515.0
Business-c6dd,257,436290.0
Business-edb5,431,435298.0
Business-69d8,359,434944.0
Business-b256,202,433621.0
Business-2e05,1727,433308.0
Business-67b6,232,432634.0
Business-bb3f,426,432430.0
Business-78e2,397,431786.0
Business-cf89,409,430716.0
Business-adc7,227,430060.0
Business-ea44,197,429992.0
Business-d203,1457,429382.0
Business-b980,288,429072.0
Business-7f28,262,428594.0
Business-cdbe,345,428562.0
Business-fc00,182,427624.0
Business-eb14,347,427365.0
Business-545d,378,427226.0
Business-03e1,207,425768.0
Business-60bd,186,424966.0
Business-b9f6,217,424610.0
Business-0c75,222,424256.0
Business-ae31,603,421469.0
Business-1065,209,419515.0
Business-5407,305,419167.0
Business-93eb,425,418715.0
Business-1d09,171,418580.0
Business-8d06,287,417499.0
Business-557e,391,417463.0
Business-06ba,187,415516.0
Business-fe7b,630,414869.0
Business-c0ce,351,413568.0
Business-42bf,205,413566.0
Business-5e1d,246,413369.0
Business-c70a,411,412168.0
Business-4601,179,411112.0
Business-08c1,224,409639.0
Business-e453,198,409038.0
Business-b4f8,120,408838.0
Business-3cac,267,408399.0
Business-b613,187,408039.0
Business-c0a9,149,407544.0
Business-2213,214,407280.0
Business-e78e,176,406035.0
Business-2efb,3625,405671.0
Business-6c27,181,404049.0
Business-9911,225,403694.0
Business-f9ff,252,403248.0
Business-6f76,213,401492.0
Business-3a00,423,401361.0
Business-6c8d,296,401354.0
Business-b22c,2178,400833.0
Business-624b,302,399647.0
Business-7515,204,398430.0
Business-6510,1003,397701.0
Business-67a9,198,397427.0
Business-c4e6,325,396735.0
Business-1edd,360,394750.0
Business-24bc,341,392830.0
Business-b42b,581,392163.0
Business-f248,167,392125.0
Business-83a0,361,391886.0
Business-34f4,312,391520.0
Business-66e8,259,390856.0
Business-aec5,264,390591.0
Business-4952,515,390288.0
Business-6001,279,390055.0
Business-e7ed,402,388845.0
Business-29b9,323,386506.0
Business-09c8,167,385431.0
Business-40cf,226,384780.0
Business-3410,223,384448.0
Business-35fc,229,384198.0
Business-c89b,266,383165.0
Business-c7bf,329,383138.0
Business-3bbc,713,382534.0
Business-5661,162,380918.0
Business-4827,202,380214.0
Business-f6cb,228,378797.0
Business-04e5,297,378715.0
Business-4925,544,378110.0
Business-69e4,1467,377609.0
Business-2574,139,376914.0
Business-6ecc,694,376482.0
Business-c22f,496,374740.0
Business-045b,228,374541.0
Business-58a8,245,374422.0
Business-cda6,199,373234.0
Business-58d9,254,373026.0
Business-60f4,302,372308.0
Business-b9a6,224,372178.0
Business-1c6c,170,370011.0
Business-2d89,367,368572.0
Business-4051,189,368403.0
Business-e2a4,246,368100.0
Business-9807,469,365789.0
Business-9179,237,365528.0
Business-fe4b,153,363992.0
Business-77b0,236,363685.0
Business-afce,653,363565.0
Business-ed1e,196,361544.0
Business-9159,203,360865.0
Business-a728,287,360732.0
Business-05d3,679,358419.0
Business-d457,524,358132.0
Business-e2ed,226,358082.0
Business-1c98,228,357748.0
Business-fb84,184,356581.0
Business-6eda,826,355590.0
Business-e482,196,355223.0
Business-ca7b,265,351480.0
Business-0d4d,164,350710.0
Business-5ca7,303,349980.0
Business-bf42,375,349938.0
Business-1626,544,349645.0
Business-5754,422,348190.0
Business-0c77,119,347706.0
Business-01de,179,346895.0
Business-1e98,341,346340.0
Business-8077,626,346324.0
Business-c516,231,344825.0
Business-2b91,242,344752.0
Business-efd5,110,342940.0
Business-52d7,240,340100.0
Business-4e69,222,340086.0
Business-c983,220,339984.0
Business-a76c,244,339466.0
Business-23ac,242,338342.0
Business-2f66,161,338330.0
Business-949f,171,338325.0
Business-fa5e,275,338192.0
Business-dd07,314,338085.0
Business-bcff,225,337969.0
Business-3575,476,337665.0
Business-1ee2,188,337656.0
Business-6087,716,337627.0
Business-e41e,171,337162.0
Business-b295,266,335617.0
Business-4d5c,275,335504.0
Business-cbdd,222,334981.0
Business-f9c1,131,333298.0
Business-8f86,353,332892.0
Business-14b6,228,332780.0
Business-845f,905,332648.0
Business-6836,1509,332486.0
Business-19dc,243,332476.0
Business-0f83,262,331410.0
Business-d255,201,331380.0
Business-883a,162,331036.0
Business-3c92,263,330170.0
Business-6950,141,329058.0
Business-0287,130,329033.0
Business-76e0,511,328738.0
Business-0b84,235,328123.0
Business-7488,200,327834.0
Business-6f4d,862,325931.0
Business-5c6c,234,325770.0
Business-8d44,183,325245.0
Business-b303,507,324103.0
Business-ceeb,216,323794.0
Business-5319,161,322436.0
Business-1f97,271,322048.0
Business-6f99,185,321464.0
Business-309b,188,319063.0
Business-a563,234,318835.0
Business-8603,180,317430.0
Business-bd94,158,317411.0
Business-4027,121,317232.0
Business-25f7,180,316509.0
Business-3194,187,316128.0
Business-3e2d,322,315421.0
Business-86a8,184,314822.0
Business-3cdf,169,314377.0
Business-43ce,535,313969.0
Business-1e10,219,313816.0
Business-aaef,407,313368.0
Business-ab40,304,312328.0
Business-dae7,165,312094.0
Business-c170,211,311787.0
Business-1488,205,311636.0
Business-0d26,145,311347.0
Business-1b81,200,310990.0
Business-ec23,206,309985.0
Business-6ca4,104,309403.0
Business-5829,437,309295.0
Business-eb2c,318,309212.0
Business-82c6,178,309164.0
Business-4ff2,631,309034.0
Business-3db1,641,308992.0
Business-4f53,449,308930.0
Business-198b,140,308547.0
Business-b7bf,541,307960.0
Business-ee14,168,307619.0
Business-3370,225,307213.0
Business-72b8,550,307017.0
Business-30e8,154,306864.0
Business-6a96,118,306748.0
Business-d177,418,306642.0
Business-59ed,164,306411.0
Business-3fbf,211,306055.0
Business-dcd4,523,305809.0
Business-ae94,470,305337.0
Business-4342,236,303444.0
Business-4a6d,243,303060.0
Business-2ed4,162,301982.0
Business-af19,222,301275.0
Business-9343,206,300543.0
Business-6bf6,841,300216.0
Business-3f85,153,300164.0
Business-8dfa,78,299736.0
Business-c893,157,299350.0
Business-8b00,161,298941.0
Business-6d1c,199,298762.0
Business-4ffe,224,298727.0
Business-89ac,180,298536.0
Business-2153,155,298517.0
Business-68a9,209,298280.0
Business-b898,142,297689.0
Business-0354,312,296691.0
Business-7a60,140,296684.0
Business-9695,158,295617.0
Business-e0b7,100,295385.0
Business-b4ea,558,294861.0
Business-fba1,219,293144.0
Business-6358,367,293105.0
Business-c3a2,335,292630.0
Business-4c5e,310,291293.0
Business-4337,476,290603.0
Business-b76a,641,290361.0
Business-c105,247,287994.0
Business-abf9,208,287877.0
Business-323e,148,287835.0
Business-d5b5,726,287529.0
Business-4248,210,286434.0
Business-2b76,262,286388.0
Business-a223,797,285412.0
Business-2249,268,285352.0
Business-34bc,150,284444.0
Business-4d1a,153,284420.0
Business-603c,143,283925.0
Business-e132,207,283090.0
Business-c1d8,127,282519.0
Business-84bc,515,281738.0
Business-e990,155,281616.0
Business-3ccf,231,280535.0
Business-5ef1,643,278606.0
Business-b9c1,209,278363.0
Business-0204,161,277435.0
Business-42df,190,277357.0
Business-9d7c,245,277150.0
Business-c840,681,277012.0
Business-6e56,111,276741.0
Business-e8a1,235,276540.0
Business-3ead,163,275577.0
Business-2693,142,274503.0
Business-a1db,146,274315.0
Business-bf11,882,273381.0
Business-af24,101,272857.0
Business-4d2a,142,272720.0
Business-a417,141,272627.0
Business-8b08,236,272305.0
Business-9cff,462,272296.0
Business-f5db,569,271877.0
Business-2b24,459,271217.0
Business-a427,666,271167.0
Business-b536,159,271040.0
Business-3326,197,268978.0
Business-f418,157,267962.0
Business-0384,321,267258.0
Business-86b1,131,267232.0
Business-c024,211,266601.0
Business-7fa5,140,266170.0
Business-a4ea,144,265745.0
Business-a6c6,163,265725.0
Business-30fc,127,264979.0
Business-41ac,175,263685.0
Business-7389,93,263680.0
Business-c251,193,262765.0
Business-4cad,213,262484.0
Business-4d69,686,261918.0
Business-332e,316,260817.0
Business-8a31,200,259410.0
Business-6541,162,259180.0
Business-ffb1,266,259006.0
Business-8854,219,258684.0
Business-a24a,204,258387.0
Business-789e,156,257290.0
Business-e61e,268,256650.0
Business-1548,199,254861.0
Business-18fe,145,253874.0
Business-dd18,192,253742.0
Business-d387,157,253177.0
Business-ba52,198,253080.0
Business-843b,164,252990.0
Business-efc5,147,252944.0
Business-27f9,345,251677.0
Business-5d3e,505,251281.0
Business-7d74,457,250565.0
Business-27c2,95,250434.0
Business-a523,605,250266.0
Business-ed87,151,250179.0
Business-4bc8,113,250010.0
Business-5cac,139,249937.0
Business-7c3e,197,248900.0
Business-8401,413,248670.0
Business-16af,340,248311.0
Business-195b,138,247944.0
Business-2a37,424,246758.0
Business-2caf,120,246677.0
Business-ea88,94,246467.0
Business-0825,1070,246281.0
Business-18e4,129,245412.0
Business-2a7a,230,245027.0
Business-9edf,90,244985.0
Business-4afb,123,244629.0
Business-fd93,113,244200.0
Business-ac17,267,243910.0
Business-3bce,243,243376.0
Business-2fb7,282,243346.0
Business-5293,140,242772.0
Business-4a11,126,242440.0
Business-709d,113,241815.0
Business-890d,726,241633.0
Business-0dbe,125,241424.0
Business-5ea8,156,241395.0
Business-f7a9,856,241362.0
Business-7c6a,270,240741.0
Business-f685,239,240481.0
Business-5f65,128,239846.0
Business-925d,314,239791.0
Business-37bc,189,239352.0
Business-0a38,109,238795.0
Business-b91d,76,238515.0
Business-4af0,113,238221.0
Business-3c65,148,237921.0
Business-dcc8,256,236083.0
Business-0610,179,235742.0
Business-69b4,76,235385.0
Business-ebc1,270,235101.0
Business-b1c4,277,234782.0
Business-593c,106,234716.0
Business-794b,160,234600.0
Business-7b28,154,233545.0
Business-6d06,332,233339.0
Business-2d8d,141,233331.0
Business-57f0,164,233258.0
Business-3852,116,232695.0
Business-f23d,121,232671.0
Business-11f2,207,232511.0
Business-31d6,98,232379.0
Business-d046,286,232250.0
Business-b094,1319,231718.0
Business-a282,97,231568.0
Business-8337,235,231178.0
Business-fa7a,152,231159.0
Business-5685,114,231051.0
Business-e8cf,144,230306.0
Business-0c59,188,229922.0
Business-fcdd,134,229190.0
Business-6091,334,228390.0
Business-d982,121,228294.0
Business-83dd,754,227710.0
Business-a712,115,227389.0
Business-8c49,143,227348.0
Business-d40e,134,227252.0
Business-d1a2,147,226326.0
Business-7220,279,226300.0
Business-856e,172,225407.0
Business-bc3d,120,225241.0
Business-58f1,433,224720.0
Business-6685,95,224496.0
Business-ea5d,159,224469.0
Business-09ae,112,224172.0
Business-2943,120,223543.0
Business-1f50,210,223440.0
Business-09e4,493,222801.0
Business-0ad6,131,222691.0
Business-8121,187,222205.0
Business-bb8a,133,221996.0
Business-c86d,114,221567.0
Business-5c6b,277,220929.0
Business-08e8,259,220372.0
Business-072a,392,220323.0
Business-7f77,248,219970.0
Business-3526,186,218740.0
Business-8870,320,218670.0
Business-4c6e,106,218575.0
Business-5999,185,218429.0
Business-6ae1,86,218132.0
Business-3b12,523,217838.0
Business-9280,110,217743.0
Business-f35b,154,217680.0
Business-fe46,218,217371.0
Business-a02b,553,217370.0
Business-8159,188,217231.0
Business-750a,275,216190.0
Business-1661,118,216167.0
Business-eb81,163,216010.0
Business-4498,372,215981.0
Business-9faf,117,215868.0
Business-b1c6,325,215635.0
Business-ae6f,235,215386.0
Business-2843,118,215205.0
Business-f85f,215,214504.0
Business-7e9d,474,214301.0
Business-23f0,178,213871.0
Business-729e,165,211955.0
Business-2b82,285,211797.0
Business-deff,174,211525.0
Business-64d8,116,210732.0
Business-0e77,164,210521.0
Business-6543,116,210517.0
Business-218a,199,210475.0
Business-7403,138,210024.0
Business-f244,131,208582.0
Business-e438,237,208452.0
Business-95a5,1249,207380.0
Business-9e30,86,207030.0
Business-a8ef,109,206931.0
Business-1be8,106,206620.0
Business-211b,112,205972.0
Business-19e8,113,205809.0
Business-8b77,94,205103.0
Business-ebb4,737,204834.0
Business-b7d7,180,204518.0
Business-8b36,135,203650.0
Business-268b,88,202981.0
Business-7eb1,175,202605.0
Business-eaf3,94,202395.0
Business-69b8,2335,202215.0
Business-ef7a,398,202075.0
Business-54ac,110,201460.0
Business-b162,125,201285.0
Business-24cd,86,201126.0
Business-bdea,92,201090.0
Business-daf8,141,200957.0
Business-4d0a,159,200800.0
Business-e4bf,516,200380.0
Business-674d,126,199852.0
Business-d9ac,110,199413.0
Business-89ea,161,199255.0
Business-b901,152,198980.0
Business-95db,79,198535.0
Business-b093,76,198267.0
Business-f2bb,102,198203.0
Business-54c5,169,197990.0
Business-b104,93,197906.0
Business-fb27,354,197790.0
Business-c263,111,196817.0
Business-0e22,227,196515.0
Business-8bb4,107,196181.0
Business-e491,186,195415.0
Business-2578,80,195317.0
Business-f0ba,155,195008.0
Business-ded1,125,194604.0
Business-0072,127,194501.0
Business-9cb1,131,193026.0
Business-22fd,119,192935.0
Business-fd3b,399,192414.0
Business-ca02,233,192396.0
Business-c5c9,164,192240.0
Business-4a1c,1084,191140.0
Business-b9b8,288,190348.0
Business-04b6,111,190301.0
Business-44c6,139,190238.0
Business-171a,74,190059.0
Business-b444,153,189252.0
Business-cd2d,72,188765.0
Business-8914,290,188272.0
Business-8960,159,187975.0
Business-4661,152,187948.0
Business-4fdb,164,187591.0
Business-238b,254,187495.0
Business-5fec,163,187339.0
Business-2019,113,187041.0
Business-1274,97,186459.0
Business-4be1,412,186457.0
Business-0bd4,200,186113.0
Business-3bf4,309,185808.0
Business-8ef0,87,185383.0
Business-598a,327,184780.0
Business-2159,95,184739.0
Business-92ed,129,184680.0
Business-d52d,212,184380.0
Business-1a8b,502,184337.0
Business-de9b,98,184055.0
Business-af74,105,183897.0
Business-e667,99,183370.0
Business-826f,211,183300.0
Business-4fce,74,183055.0
Business-7b0e,66,183045.0
Business-998c,114,183032.0
Business-c7be,156,182021.0
Business-7e6f,106,181992.0
Business-1bbc,98,181216.0
